%t	pwall	u1	v1	p1
0.02312	99225.724578125	36.8330692657233	0.283113312848028	100601.230998663
0.02314	99340.1035390625	29.9991312073934	1.31753367562161	100456.377472357
0.02316	99455.623390625	22.5034470103417	3.36924494185061	100204.115897225
0.02318	99561.6981640625	14.6795402515141	6.54797603305962	99872.6213721227
0.0232	99649.612203125	6.67991237547731	10.7659532406237	99506.007134916
0.02322	99723.3305703125	-1.19842709412322	15.7416810094885	99159.4421644983
0.02324	99788.63253125	-7.54378712469127	21.0100878684107	98902.8141411171
0.02326	99846.2849140625	-10.3818575321563	25.9769308147804	98795.1913120991
0.02328	99906.480921875	-9.74775495177212	30.1016093697557	98852.1309241817
0.0233	99976.3838515625	-7.49318687239056	32.9962822726195	99061.028578659
0.02332	100056.302304688	-4.01608598709155	34.4062289706408	99393.3330845432
0.02334	100144.842898438	1.3699928671815	34.2352934809546	99806.2883067037
0.02336	100227.351734375	8.39348807832784	32.5987647478691	100252.075562031
0.02338	100292.3076875	16.1782088833286	29.7190524426213	100692.986937372
0.0234	100325.468328125	24.021382224655	25.8643672455082	101098.549591649
0.02342	100319.829335938	31.4963890731882	21.3333934479891	101445.460838362
0.02344	100283.376945313	38.3857106238822	16.4302487289586	101712.3839154
0.02346	100223.29315625	44.6354905087916	11.4704065836127	101901.30791236
0.02348	100143.814226563	50.2964411617662	6.74337208288392	102016.949576738
0.0235	100048.362828125	55.516560397732	2.45392151766776	102071.202801033
0.02352	99934.4140390625	60.5340663304602	-1.32618685440009	102078.148246696
0.02354	99819.735828125	65.5678207245447	-4.63908340664924	102048.742575311
0.02356	99737.573	70.6693426180786	-7.66195516998684	102002.521738106
0.02358	99692.2646796875	75.5835323342272	-10.5966621797865	101967.264725916
0.0236	99688.813953125	79.9057174699551	-13.6015291436215	101955.505125865
0.02362	99718.0562890625	83.3351104811303	-16.6998024218119	101970.750730367
0.02364	99763.4113671875	85.741381680796	-19.7582641808553	101990.479114793
0.02366	99805.6804296875	87.2021532530665	-22.5068435181556	101990.974841398
0.02368	99839.1590234375	87.9304292515953	-24.6569506363914	101943.857891175
0.0237	99847.4819140625	88.2334750923982	-25.9707843413948	101853.958193505
0.02372	99843.7786953125	88.4465326700788	-26.3608440996451	101719.865509193
0.02374	99838.270625	88.9053981460647	-25.9164780215019	101558.389581421
0.02376	99833.7070625	89.8701305603614	-24.8716803579729	101395.536886702
0.02378	99831.743234375	91.4821635907037	-23.5344275163426	101241.550659908
0.0238	99824.804375	93.7191256587925	-22.2339383492717	101095.610479901
0.02382	99818.164765625	96.2939742918001	-21.2356289917502	100978.598413522
0.02384	99798.302046875	98.441974302823	-20.7081759714219	100893.643887867
0.02386	99741.5661171875	99.1940247350361	-20.6506445484936	100857.366789366
0.02388	99677.9193828125	98.0544330100336	-20.9343257360519	100833.954651904
0.0239	99610.3636953125	94.9514207053767	-21.2465727869541	100792.595401472
0.02392	99535.1397265625	90.0038755848661	-21.15732453168	100680.041133951
0.02394	99473.5316328125	83.4834230380991	-20.1781819574233	100475.441020664
0.02396	99433.9745234375	75.7348587207933	-17.8924755851609	100146.785872066
0.02398	99376.0696484375	67.3862129014154	-14.0429396459277	99697.7898154914
0.024	99355.0566875	59.1147694610323	-8.69661531820544	99146.2734358549
0.02402	99391.82703125	51.3958299186463	-2.14426146344402	98557.4167430779
0.02404	99502.3905546875	44.3936023720161	5.20237205671536	98021.3964421364
0.02406	99693.9666640625	37.9604517784371	12.8692458951923	97604.3533782326
0.02408	99934.7693984375	31.7891403956739	20.4479216805972	97351.8734403455
0.0241	100187.897492188	25.610291254007	27.608553649355	97288.9384549351
0.02412	100411.100585938	19.3740182010135	34.0865572808346	97417.6079605875
0.02414	100551.579757813	13.5021288453325	39.5680674897309	97711.6801517633
0.02416	100604.416085938	8.98123792731913	43.699103689519	98134.8691326948
0.02418	100588.499726563	7.13813497046547	46.1455848886094	98637.1852121545
0.0242	100524.722070313	9.08712933795544	46.6809562088653	99147.458213795
0.02422	100435.358539062	14.8300249985262	45.3128163102258	99614.1676968884
0.02424	100321.877328125	23.0632574020068	42.28302982974	100004.876466208
0.02426	100182.641914063	32.0985980799018	38.000466027967	100320.887898801
0.02428	100025.33928125	40.6438185026611	32.935944304218	100580.351919713
0.0243	99861.2100078125	48.0188878961553	27.5513147341858	100795.643641758
0.02432	99701.70040625	54.0742922942791	22.2206663045614	100973.99743545
0.02434	99534.8030703125	58.9870711561446	17.1821576025723	101109.795866307
0.02436	99375.536609375	63.0365487677017	12.536272311244	101198.038912688
0.02438	99217.8412109375	66.4677150200224	8.25509030226911	101241.844352978
0.0244	99075.1550703125	69.3989937275835	4.2509256537634	101252.96943303
0.02442	98963.74990625	71.8396008332974	0.449778453010384	101251.526178509
0.02444	98895.4928515625	73.6610141207633	-3.13151672566042	101251.548708973
0.02446	98884.355140625	74.6432486078905	-6.37916877681088	101256.795349212
0.02448	98930.795	74.5743827805717	-9.06054748548086	101269.100058557
0.0245	99021.916625	73.3149067642153	-10.9306404582882	101278.527601033
0.02452	99116.8536875	70.7799469620286	-11.7678031171985	101253.795197022
0.02454	99196.86565625	67.0327252961059	-11.3821096644275	101165.708204824
0.02456	99227.108609375	62.4048772159308	-9.71573040060662	101001.825543373
0.02458	99210.4908828125	57.4825495221041	-6.91540116712217	100774.052133102
